Einverständnis;Geschlecht;Alter;Leben Sie momentan in Deutschland?;Falls Sie in Deutschland leben, in welchem Bundesland sind Sie wohnhaft?;Was ist Ihr aktueller Familienstand?;Was ist Ihre aktuelle Lebenssituation?;Was ist Ihr höchster Bildungsabschluss ?;An wie vielen Tagen in der Woche konsumieren Sie aktuelle Nachrichten?;Wie konsumieren Sie in der Regel Nachrichten?;Haben Sie bereits Erfahrung mit der Nutzung von Sprachassistenten? (Alexa, Siri etc.);Identifikationscode;Vor- und Nachteile;Allgemeine Zufriedenheit ;Informationsgehalt (Allgemein);Informationsgehalt (Spezifisch);Kontrolle über Nachrichten;Vorschläge des Sprachassistenten;Sprachausgabe (Geschwindigkeit);Umfang der Antwort;Verständnis des Sprachassistenten;Verständnis der Antworten;Verhalten des Sprachassistenten;Menschlichkeit des Sprachassistenten;Verbesserungsvorschläge;Wunschfunktion;Ich denke, dass ich das System gerne häufig benutzen würde.;Ich fand das System unnötig kompliziert.;Ich fand das System einfach zu benutzen.;Ich glaube, ich würde die Hilfe einer technisch versierten Person benötigen, um das System benutzen zu können.;Ich fand, die verschiedenen Funktionen in diesem System waren gut integriert.;Ich denke, das System enthielt zu viele Inkonsistenzen.;Ich kann mir vorstellen, dass die meisten Menschen den Umgang mit diesem System sehr schnell lernen.;Ich fand das System sehr umständlich zu nutzen.;Ich fühlte mich bei der Benutzung des Systems sehr sicher.;Ich musste eine Menge lernen, bevor ich anfangen konnte das System zu verwenden
Ja;Männlich;25;Ja;Berlin;Ledig;In einer Wohngemeinschaft;Gymnasium (Abitur);0;Online (digital);Ja;0304AB;"Pro: Es ist super hilfreich, dass die Artikel vom Assistenten ausgewählt werden und man sich nicht durch News Seiten graben muss bis man was gefunden hat. Gerade wenn man sich zwischendurch beim Zähneputzen oder so über die Nachrichten informieren will ist das super. Dazu ist die länge der Vorgelesenen Artikel super. Ich glaub die Integration von so einem tool in ein Smart Home System ist echt eine Bereicherung. Gerade für die Zeiten zwischendurch beim Kaffee machen, etc. Weil sich sonst Zeit zu nehmen die Nachrichten aktiv zu verfolgen echt schwer ist. 
Contra: Manchmal ist die Auswahl zwischen Themen hin und her gesprungen. Aber auch nicht immer. Die meiste Zeit war immer einer der genannten Artikel spannend und hat mich interessiert, wobei die anderen Artikel aber auch nicht themenfremd waren. Vllt könnte die Stimme ein bisschen schneller sprechen, aber dadurch, dass man den Assistenten unterbrechen kann ohne Probleme, kann man direkt den Artikel vorlesen lassen, den man interessant findet, wenn der Titel vorgelesen wird und muss nicht die ganze Auswahl hören. ";5;4;Musik;5;4;2;3;5;5;5;3;Schneller reden oder ggf kürzere Titel. ;"""Lies mir die 3 Top ranking Artikel der Welt von gestern vor"" - als Funktion";5;1;5;1;5;2;5;1;5;1
Ja;Männlich;21;Ja;Nordhrein-Westfalen;Ledig;Alleine;Gymnasium (Abitur);5;Online (digital);Ja;0304SS;"Gut war: Assistent macht viele Vorschläge, Viele Themen zur Auswahl, Aktuelle wichtige Themen vorgeschlagen, nice dass man auswählen kann was man hören will, Verständliches Vortragen

Zu verbessern:  Gelegentliche Sprachfehler v.a bei ausländischen Wörtern, manchmal falschen Artikel vorgelesen";4;5;Ich habe zu allem etwas gefunden.;4;5;2;3;5;5;5;4;Tempo vorab oder zwischendurch ändern können, Anglizismen richtig aussprechen um besser zu verstehen;Tempo schneller, Stop button ohne, dass es gesagt werden muss. ;4;1;5;1;5;4;5;1;4;1
Ja;Weiblich;25;Ja;Bayern;Ledig;Mit Ihrem Partner;Master;7;Online (digital), Radio;Ja;0404JR;"Pro: gut verständliche Sprechweise; Con: Richtige Ausdrucksweise für die Frage zu formulieren";4;4;Nein, ich habe zu allen Themen Antworten erhalten;3;3;3;2;2;1;1;3;"Es gibt viele Arten und Weisen nach aktuellen Nachrichten zu Fragen, es wäre daher schön wenn der Sprachassistent sie alle erkennen/verstehen würde. Und man nicht eine einzige vordefinierte ""Aussage""/Aufforderung verwenden müsste. ";-;4;3;3;1;3;1;4;2;3;2
Ja;Männlich;29;Ja;Bayern;Ledig;Mit Ihrem Partner;Master;3;Online (digital);Ja;0404TS;Pro: man kann sich beim Auto fahren o.ä. die Nachrichten vorlesen lassen und der Sprachassistent hat meistens meine Intentionen korrekt verstanden. Contra: der Agent spricht relativ langsam und die Stimme passt eher zu einem Hörbuch als zu Nachrichten. Da man keinen visuellen Überblick zu aktuellen Nachrichten hat, kann man nicht direkt zu den News springen, die einen interessieren. Man muss sich erst langatmig die Liste aktueller Nachrichten vorlesen lassen, bis man eventuell auf etwas interessantes stößt. Auch wenn man sich einen konkreten Artikel vorlesen lässt, dauert das noch sehr lange. Man kann nicht innerhalb des Artikels schnell zu einer interessanten Stelle springen. Die Auswahl eines konkreten Artikels anhand des vorgelesenen Titels hat nicht wirklich funktioniert. Man musste (so zumindest mein Eindruck) sich erst alle Headlines vorlesen lassen und sich dann merken an welcher Position der relevante Artikel vorgelesen wurde. Ich würde liber gerne direkt beim Vorlesen des Überblicks stoppen und anhand des Titels einen Artikel auswählen können. Das Vorlesen aller Artikel macht die Sache wieder sehr langatmig und ich merke mir auch nicht instinktiv an welcher Stelle welcher Artikel vorgelesen wurde. Fazit: Beim Auto fahren usw. eventuell nicht schlecht, wobei ich mir dann eventuell lieber Tagesschau in 100 Sekunden anhören würde und falls mich etwas näher interessiert später noch konkrete Artikel im Netz suchen würde. Im täglichen Leben würde ich lieber visuellen Input haben, da man sich so sehr viel zeitsparender einen Überblick zu Themen verschaffen kann und gezielt die Stellen lesen kann, die einen interessieren. ;4;4;Generelle Themen zu z.B. Scholz oder Trump wurden zuverlässig gefunden. Spezifische Nachrichten zum Beispiel zum neuen Gebäudeenergiegesetz 2024 wurden nicht gefunden. ;2;2;2;4;3;5;5;2;Schnellere Sprache, Artikel eventuell in einer zusammengefassten, kürzeren Form vorsprechen lassen und insgesamt den Prozess sich einen Überblick zu verschaffen schneller und einfacher machen. ;schnellere Sprache;1;2;4;2;4;2;5;3;4;2
Ja;Männlich;22;Ja;Bayern;Ledig;Mit Ihrem Partner;Gymnasium (Abitur);0;Fernseher;Ja;0404HH;Pro: Kurze Zusammenfassung, Guter Überblick, Auswahl der Nachrichten, Gute Kontrolle, Gut für Leute wie mich, die nicht so gut lesen können Contra: Maschinelle Monotone Stimme;4;5;Bier;5;5;3;3;4;5;4;3;Wenn Thema nicht gefunden wurde, ähnliche Themen vorschlagen.;Geschwindigkeit beim Vorlesen ändern/ bestimmen können.;4;1;5;1;5;1;5;1;5;1
Ja;Männlich;50;Ja;Berlin;Verheiratet;Mit Ihrem Partner;Doktor;7;Online (digital), Radio;Ja;0504AS;"Pro: Ich kann Nachrichten aus sehr vielen verschiedenen Themenbereichen erhalten.
Contra: Ich finde nicht intuitiv die Nachrichten, die ich suche. ";1;2;Keine Informationen zu Koalitionsverhandlungen von CDU und SPD in Berlin;1;2;3;3;3;3;2;1;"Statt ""Lies mir die 5. Nachricht vor"" erlauben ""Lies mir die erste/letzte Nachricht vor""
""Weiterblättern"" in vorgeschlagener Nachrichtenliste immer erlauben (auch unterbrechen)
Mehr Varianten in der Suche ermöglichen
Jede Rückfrage erlauben
Themenverständnis verbessern (Koalitionsverhandlungen in Berlin haben nichts mit Ursula von der Leyen zu tun)";"Völlig freie, natürlichsprachliche und beliebige Suche nach ganz aktuellen Nachrichten ohne vorgegebenes Suchschema
Springen zu beliebigem Thema zu jeder Zeit möglich";2;4;2;4;2;3;2;4;2;2
Ja;Männlich;25;Ja;Bayern;Ledig;Mit Ihrem Partner;Bachelor;5;Fernseher;Ja;0504BL;"Pro: Angenehme Stimme; toll sich Nachrichten einfach vorlesen zu lassen!

Contra: Man muss sehr laut sprechen um verstanden zu werden;  Navigation wirkt nicht besonders ausgereift (als ich ""zurück"" sagte, habe ich erwartet das mir die Übersicht erneut vorgelesen wird und nicht direkt der erste Artikel daraus.";3;4;Hat wunderbar funktioniert (nachdem ich sehr laut alles wiederholen musste);2;4;3;3;2;3;2;1;"Der erste Eindruck scheint mir maßgeblich. Ich würde einfach mit einer offenen Frage beginnen und vielleicht mit einem kurzen Intro-Satz. Am Anfang wird schein es mir intuitiv die eine von den zwei Optionen zu wählen, die nicht ""Hilfe"" war. Andererseits war ich dann sehr überrascht, dass ich auf ein bestimmtes Keyword wirklich interessante news bekommen habe. Das hätte ich nach dem ersten Eindruck nicht erwartet.";Schnellere navigation, die sich nicht nach Callcenter anfühlt.;2;4;2;1;2;3;4;3;5;1
Ja;Männlich;63;Ja;Baden-Württemberg;Verheiratet;Alleine;Doktor;7;Online (digital), Radio, Fernseher;Ja;0504RM;"Er versteht sehr gut, die Dialoge waren sprachlich gut. Allerdings wurden bei den von mir ausgewählten Kategorien immer wieder falsche Themen untergemischt. Erzähle mir etwas zu Sport: dort kamen 3 Vorschläge aus der Wirtschaft. 
Dann: Erzähle mir etwas zu Fussball:
ALPHA antwortet, dass er mir 3 Themen zur Nationalmannschaft erzählt, die Themen sind dann aber zu Wirtschaft und Ukraine-Krieg.
Dann war ich am Anfang zu ""schlampig"" in meinen Anweisungen, z.B. ""Was gibt es neues in der Welt?"" wurde nicht verstanden.";2;3;Es kamen Vorschläge zu anderen Kategorien, statt Sport kam Politik oder Wirtschaft;4;4;3;3;2;5;2;4;"Das grundsätzliche Konzept scheint mir gut und passen. Es sind noch ein paar bugs bei der Themensuche drin, die raus müssen.
Dann muss man sich etwas an die Sprache gewöhnen, auf die das System reagiert. Einfach losquatschen geht nicht gut.";"Die Sprachbefehle des Nutzers auf ""Alltagssprache"" erweitern, ""was gibt es neues beim Fussball?""";4;2;2;1;4;1;4;2;2;1
Ja;Weiblich;23;Ja;Nordhrein-Westfalen;Ledig;Mit Ihrem Partner;Bachelor;6;Online (digital), Radio, Fernseher;Ja;0504AH;"Pro: 
- der Assistent hat mich sehr gut verstanden
- es war gut, dass ich Nachrichten auswählen konnte, die mich interessieren
- der Assistent hat in einer angenehmen Stimme (nicht so piepsig wie andere KI Stimmen) gesprochen und war verständlich 
- es hat Spaß gemacht, damit rumzuspielen 

Contra:
- der Assistent konnte nicht über alle Themen Nachrichten finden (DFP-Pokal)";5;4;DFB Pokal ;5;5;3;3;5;5;5;3;einen flüssigeren Sprachfluss des Assistenten ;Andere Themen als Nachriten (Wetter / allg. Informationen);5;1;5;1;5;2;5;1;5;1
Ja;Weiblich;26;Nein;Wohnort außerhalb von Deutschland;Ledig;Alleine;Bachelor;4;Online (digital), Fernseher;Ja;0504MM;"Pro: Sehr natürliche Konversation, einfache Bedienung, coole Idee, würde ich gerne beim Autofahren nutzen können, interessante Themenvorschläge
Contra: Manche Namen wurden etwas unnatürlich ausgesprochen";5;4;-;5;5;3;4;4;5;5;2;Noch menschlichere Aussprache und schneller mehr Nachrichten hintereinander;Integration ins Auto;5;1;5;1;4;1;4;1;5;1
Ja;Männlich;22;Nein;Wohnort außerhalb von Deutschland;Ledig;Alleine;Bachelor;7;Online (digital), Fernseher;Ja;0604SK;"Vorteil: Schnell einen überblick über die aktuellen nachrichten bekommen
Nachteil: Ich konnte nicht so leicht zw. Themen wechseln, z.b. hat er mich manchmal nicht verstanden und anstatt den 2. Artikel vorzulesen hat er ein komplett neues thema angefangen, wodurch ich dann nicht mehr so leicht zurück zum ursprünglich gewollten artikel kam";4;5;Ich habe mich manchmal schwer getan, spezifische Artikel zu bekommen;3;5;3;3;5;5;2;4;-;Den von der KI ausgesprochenen Text sichtbar lesen zu können würde es manchmal viel leichter machen, ihn zu verstehen.;4;2;4;1;5;1;4;1;4;1
Ja;Männlich;51;Ja;Baden-Württemberg;Ledig;Mit Ihrem Partner;Master;7;Online (digital), Radio;Ja;0604NM;Pro: angehnehme Stimme. Contra: Sprachduktus z.T. sehr lünstlich und irritierend. Contra: Erst Artikel zu Thema gefunden, dann aber 1. anderen aus allgemeiner Übersicht vorgelesen;2;3;alle gefunden;2;4;4;3;2;4;3;2;richtige Intonation weiter verbessern. Aussprache unbekannter Begriffe langsamer, neutraler gestalten (Assistent versucht fremde Begriffe mit Betonung zu versehen, was miss- bis unverständlich wird, wenn Betonung falsch erfolgt);neueste Nachricht explizit ansagen lassen. Genrell und zu spezifischen Themen;2;2;4;1;4;3;5;1;4;1
Ja;Männlich;29;Ja;Bayern;Ledig;Alleine;Master;2;Online (digital);Ja;0604TZ;"Vorteile: Rein sprachlich steuerbar, z.B. dadurch im Auto oder beim Spazieren o.Ä. sehr gut nutzbar.
Nachteile: Nicht ohne lautes Sprechen steuerbar, braucht leise Umgebung, Geschwindigkeit der Relevanzidentifikation von Nachrichten ist deutlich langsamer, als wenn man einfach schriftliche Headlines überfliegt. Auch der Konsum der Nachricht selbst ist langsamer, da das Audioformat logischerweise kein ""Überfliegen"" ermöglicht.";3;3;"Der Assistent scheint teilweise Themen nur teilweise aufzunehmen bzw. zu abstrahieren, z.B. bei der Frage nach Themen zu ""IT-Sicherheit"" oder ""Cyber Security"" hat der Assistent immer nur Neuigkeiten zum Gesamtthema ""Sicherheit"" vorgestellt, was in irrelevanten Neuigkeiten endet. ";4;4;2;3;5;5;4;3;Die Intonation des Sprachassistenten wirkt insgesamt noch etwas unnatürlich. ;-;3;1;5;1;4;1;5;1;4;1
Ja;Männlich;54;Ja;Nordhrein-Westfalen;Verheiratet;Mit Ihrem Partner;Doktor;7;Zeitung (physich), Online (digital), Radio, Fernseher;Ja;0604CC;"Der Assistent funktioniert robust und liefert klare Ergebnisse. Man kann auch zwischendurch Befehle eingeben und muss nicht bis zum Ende der Ansage warten. 
Einschränkend bei Erstbenutzung ohne Anleitung ist, dass man nicht weiß wie breit das Angebot an Artikeln insgesamt ist bzw. ob es neben den genannten Kategorien noch andere gibt und wie frei man sich Inhalte wünschen kann. ";5;4;"Auf die Frage nach Artikeln zu ""Energie"" hatte ich Energieversorgung im Kopf, bekam aber einen Artikel zu ""Energiemangel bei Frauen nach Sport"". Man muss halt präzise wünschen, was man dem Assistenten aber nicht vorwerfen kann. Es lässt sich durch neue Eingabe leicht korrigieren. Wenige Anfragen wurden nicht verstanden.";5;5;3;3;5;5;4;4;Wenn der Assistent etwas nicht versteht, dann könnte er noch ein Angebot für eine Beispielfrage geben oder einen Vorschlag machen.;"1) Wenn die Nachrichten aus einem Pool wie z.B. einer Tageszeitung kommen, dann wäre die Abfrage, der meist gelesenen Artikel der aktuellen Ausgabe oder der letzten x Tage hilfreich. 
2) Es sollte eine Hilfefunktion oder ein Einführungstutorial geben, damit Menschen, die von einem derartigen Assistenten keine Ahnung haben ein Grundkonzept erklärt bekommen.";4;1;5;2;4;1;4;1;4;2
Ja;Weiblich;23;Ja;Bayern;Ledig;Alleine;Gymnasium (Abitur);5;Online (digital), Fernseher;Ja;0604AK;"Pro: macht Nachrichten lesen spannender für mich, hilfreich wenn meine Hände schmutzig sind, kurze Antworten also verliere nicht den Fokus
Contra: funktioniert nur wenn man alleine ist, glaube sonst ist es nervig für andere Leute";5;4;x;5;4;3;3;4;5;4;3;Besser als App für das Handy, mehr Nachrichten auf einmal also mehr als 3;"Für die Webseite eine Tastenkombination oder sowas wie ""Hey Siri"" um die Aufnahme zu aktivieren";5;1;5;1;5;2;4;1;5;2
Ja;Weiblich;22;Ja;Bayern;Ledig;Alleine;Bachelor;3;Online (digital), Fernseher;Ja;0604HH;"Contra: Wenn man sich verspricht, muss man wieder ""neu"" anfangen + ich kann nicht nochmals nach dem Titel des Artikels fragen + wenn ich Artikel nach einem bestimmten Thema frage ähneln sich die Vorschläge inhaltlich teilweise
Pro: Insgesamt interessante Artikel + macht die Nachrichtensuche spielerisch, würde ich gerne öfters nutzen";5;5;Keine;4;4;3;3;4;5;4;3;Option nach mehr Informationen zu fragen bzgl Autor, Veröffentlichungsdatum etc.;Keine;4;1;5;1;5;1;5;2;5;1
Ja;Männlich;24;Ja;Bayern;Ledig;Alleine;Bachelor;7;Online (digital);Ja;0704FG;"PRO:
- Schlägt abwechslungsreiche Nachrichten vor, sogar unterschiedliche für den selben Suchbegriff
- Die Nachrichten sind ziemlich aktuell

Contra:
- Einige Wörter werden komisch ausgesprochen z.B. Koalitionsausschuss, Credit Suisse...
- Die Artikel Auswahl funktioniert nicht ganz zuverlässig z.B. Habe ich bei der Auflistung von Artikel zum Thema Ukraine den zweiten Artikel anhören wollen, allerdings hat es mir dann stattdessen etwas über die Taliban in Afghanistan erzählt";4;4;- Bei längeren Anfragen wurde nur ein Teil des Themas berücksichtigt z.B. habe ich nach Artikeln zum Klimaschutz mit Bezug auf die Debatte über Fossile Heizungen gesucht. Darauf hin wurden mir allgemeine Nachrichten zum Klimaschutz vorgeschlagen, aber nichts über die Heizungsdebatte.;4;4;2;3;3;4;4;3;"- Ich fände es gut wenn man die Sprachgeschwindigkeit einstellen kann, wie bei Podcasts also z.B 1.5 oder 2 fache Geschwindigkeit
- Es sollte möglich sein die Artikelvorschläge zu wiederholen";- Unterschiedliche Geschwindigkeiten für die Antwort des Assistenten einstellen;3;1;5;1;5;1;5;1;5;1
