_id;intent;message;timestamp
642b467f32366848fcba59b4;default.welcome;hallo;2023-04-03 21:34:55
642b468032366848fcba59b5;default.welcome;"Hallo! Du kannst mich nach den aktuellen Nachrichten fragen. Sage zum Beispiel ""Was sind die aktuellen Nachrichten?"".  Außerdem kannst Du jederzeit nach Hilfe fragen, sage einfach ""Hilfe"".";2023-04-03 21:34:56
642b469a02724031e97b8a86;news.search;was sind die aktuellen Nachrichten;2023-04-03 21:35:22
642b469a02724031e97b8a87;news.search;"<speak> Für einen aktuellen Tagesüberblick sage Überblick oder sage <break time=""400ms""/> Nachrichten über bestimmtes Thema. </speak>";2023-04-03 21:35:22
642b46a802724031e97b8a88;news.resort.list;Nachrichten über bestimmtes Thema;2023-04-03 21:35:36
642b46a902724031e97b8a89;news.resort.list;"<speak><p><s>Ich habe Nachrichten unter anderem in den Kategorien <break time=""400ms""/>inland, <break time=""350ms""/>sport<break time=""200ms""/> und <break time=""200ms""/>wissen</s> <s>Außerdem habe ich Nachrichten aus den verschiedensten Themen, wie zum Beispiel <break time=""350ms""/> Bündnis 90/Die Grünen<break time=""200ms""/> oder <break time=""200ms""/>Finnland<break time=""500ms""/> </s><s> Sage zum Beispiel, Nachrichten aus Kategorie inland <break time=""350ms""/> oder Nachrichten über Bündnis 90/Die Grünen. </s></p> </speak>";2023-04-03 21:35:37
642b46c832366848fcba59b6;news.entity.search;Nachrichten über Bündnis 90 die Grünen;2023-04-03 21:36:08
642b46c932366848fcba59b7;news.entity.search;"<speak><p><s> Hier sind Artikel über Bündnis 90/Die Grünen </s></p>. <break time=""250ms""/> <p><s>Erstens<break time=""500ms""/> Baden-Württemberg, <break time=""500ms""/>Geflüchteter Syrer zum Bürgermeister gewählt</s> <break time=""1000ms""/> <s>Zweitens<break time=""500ms""/> Verschmutzung der Oder, <break time=""500ms""/>Der gequälte Fluss</s> <break time=""1000ms""/> <s>Drittens<break time=""500ms""/> Berlins CDU-Chef Wegner, <break time=""500ms""/>Einer, der Spagat kann</s> <break time=""1000ms""/> </p> <p><s>Für einen der Artikel sage beispielsweise, lies mir den zweiten Artikel vor oder für weitere Vorschläge, sage weitere Vorschläge.</s></p> </speak>";2023-04-03 21:36:09
642b46ed32366848fcba59b8;news.select.article.by.number;lies mir den ersten Artikel vor;2023-04-03 21:36:45
642b46ed32366848fcba59b9;news.select.article.by.number;"<speak> <p><s>Baden-Württemberg: Geflüchteter Syrer zum Bürgermeister gewählt. </s></p><p>2015 floh er aus Syrien. Nun hat die schwäbische Kleinstadt Ostelsheim Ryyan Alshebl zum ersten Rathauschef von BW mit syrischen Wurzeln gewählt. Das schwäbische Dorf Ostelsheim im Landkreis Calw hat Ryyan Alshebl am Sonntag mit einer absoluten Mehrheit von 55,41 Prozent der Stimmen zum neuen Rathauschef gewählt. Das teilte die Gemeinde am Abend mit. Der 29-Jährige war als parteiunabhängig zur Wahl angetreten. Privat sei er aber Mitglied bei den Grünen.  Sieg im ersten Wahlgang</p> <break time=""1000ms""/> <p><s>Für weitere Artikel aus verwandten Themen, wie Bündnis 90/Die Grünen, Syrien oder Gemeinde sage ich möchte Nachrichten über Bündnis 90/Die Grünen haben.</s></p>Um zu einem anderen Artikel aus der Auswahl zu gelangen, sage Wiederholen, <break time=""350ms""/> Nächster <break time=""350ms""/> oder Zurück. </speak>";2023-04-03 21:36:45
642b474432366848fcba59ba;control.next.article;nächster;2023-04-03 21:38:12
642b474532366848fcba59bb;control.next.article;"<speak> <p><s>Verschmutzung der Oder: Der gequälte Fluss. </s></p><p>Die Grünen diskutieren heute bei einer Konferenz über besseren Schutz für die Oder. Doch ein Besuch in der Industrieregion im Süden Polens zeigt: Abwassereinleitungen sind dort weiter tägliche Praxis.  Von Tom Schneider, rbb Eine Bootsfahrt auf der Oder, rund 350 Kilometer von der deutschen Grenze entfernt. Einladend sieht das Wasser nicht aus, auf das der Angler Grzegorz Marcinkiewicz hinausfährt. Braun und leblos wirkt es in diesen Frühjahrstagen, kein Grün sprießt am Ufer. Ein paar Stockenten hier und da, mehr Leben scheint nicht zu herrschen.</p> <break time=""1000ms""/> <p><s>Für weitere Artikel aus verwandten Themen, wie Bündnis 90/Die Grünen, NS-Staat oder Rundfunk Berlin-Brandenburg sage ich möchte Nachrichten über Bündnis 90/Die Grünen haben.</s></p>Um zu einem anderen Artikel aus der Auswahl zu gelangen, sage Wiederholen, <break time=""350ms""/> Nächster <break time=""350ms""/> oder Zurück. </speak>";2023-04-03 21:38:13
642b478232366848fcba59bc;control.previous.article;zurück;2023-04-03 21:39:14
642b478232366848fcba59bd;control.previous.article;"<speak> <p><s>Baden-Württemberg: Geflüchteter Syrer zum Bürgermeister gewählt. </s></p><p>2015 floh er aus Syrien. Nun hat die schwäbische Kleinstadt Ostelsheim Ryyan Alshebl zum ersten Rathauschef von BW mit syrischen Wurzeln gewählt. Das schwäbische Dorf Ostelsheim im Landkreis Calw hat Ryyan Alshebl am Sonntag mit einer absoluten Mehrheit von 55,41 Prozent der Stimmen zum neuen Rathauschef gewählt. Das teilte die Gemeinde am Abend mit. Der 29-Jährige war als parteiunabhängig zur Wahl angetreten. Privat sei er aber Mitglied bei den Grünen.  Sieg im ersten Wahlgang</p> <break time=""1000ms""/> <p><s>Für weitere Artikel aus verwandten Themen, wie Bündnis 90/Die Grünen, Syrien oder Gemeinde sage ich möchte Nachrichten über Bündnis 90/Die Grünen haben.</s></p>Um zu einem anderen Artikel aus der Auswahl zu gelangen, sage Wiederholen, <break time=""350ms""/> Nächster <break time=""350ms""/> oder Zurück. </speak>";2023-04-03 21:39:14
